family_id,upstream_path,upstream_sha256,upstream_bytes,upstream_lines,upstream_run_directives,upstream_check_directives,semantic_tags,fixture_source_set_sha256,fixture_binary_set_sha256,native_contexts,captured_events
SNF-039,lld/test/ELF/relro-init-fini-script.s,96976509ceaa6f93157c6fce7bc8a4f214a10e94bf854dafa8b39fd5a5eecf65,1679,39,14,9,hidden;relro;shared,f5266cd81fbf5b437b7de4b37e58310d1dad11d9771f535e53ad1d6f1cbf62b4,6c663d13715ee9746b77fe1df99fee2a87fa2f3bcd9b415c9ba3af1130fc7a08,16,992
SNF-040,lld/test/ELF/wrap-extract.s,a62fd2f12294c3d9d7122a11c12c9baf8ef2790268e321fdd853590274cd0bb7,531,21,4,0,wrap;archive,ce96fd09c316a7d5ad9366314b0fc4b0c1ec75e6e231832d58a0e10432c9f9e9,e5d2fd6799b7d0b32e5bacaa566718ac6e02703f02ff0acb4e3fda234f25207b,16,992
SNF-041,lld/test/ELF/linkerscript/symbolreferenced.s,570ce65039581a6dae496f6f2d0531153d1fb83bdb315254adc5fb0842aa5c99,3253,116,22,31,lazy;hidden;undefined,a6cd7aa8ea8daf21aa64af9b8cd83a2d733addd7f6dd917fef545a1dd96628f0,822803e06b6312f3f092a3484ec3540bcd52c798f691a14457f2540f18036ade,16,992
SNF-042,lld/test/ELF/why-extract.s,031b8128b9dbfc77f5de4a576619ef54a96ff9da19a4332255e99d41fa033e91,3186,101,26,40,undefined;lazy;archive;shared,43e8f38636530fafb7f497f17dd31af52089af828a365610d19fd9b587e472ec,e51c14c314bdef33e4d94a0979e30b9f2c4ceda055bd1ff8003ea72273e602fe,16,992
SNF-043,lld/test/ELF/bsymbolic-undef.s,7b289bd0a71409a5eaf3cc043840c2591fdb42701b27332da02b9e0267a00084,787,27,3,21,undefined;shared;symbolic,1e87ff721f3c44199a78d27e1b7494bb8d751c40895e6380491de9fd0e28bd88,11fecf44d5c008e65f8d74ef89805dc7335b60dda1b25a490a7022d4ae8256da,16,992
SNF-044,lld/test/ELF/riscv-reloc-leb128.s,9a425bb3e476e1c67b031e94fad2cd6e72f71545c87a380249155d1f2eec1da2,7367,187,20,33,shared;preempt;gc-sections,3385536e136540a13fdd68a06a677aa79a79d5d64574fad2ab76e22d3f366f6e,1ce35ebdd8b2084db4ec98b5d51779962edf82b57c8fbef08f06ed3a1d153de9,16,992
SNF-045,lld/test/ELF/bp-section-orderer.s,1fa296c32cdefb8e4265b1bac49b3932448d0e957b82328c8b198d910f5aab9d,14668,455,28,47,gc-sections,cd7229cdb1d0906aa90df3bc639830a477d003537400f0416174d722b99ccd1e,5d0a42901f25c4d8225cf2c84e0e5539de97485e2c9949e6a8aa53f0ec15f113,16,992
SNF-046,lld/test/ELF/undefined-opt.s,ebe1694133c2f09d1392ce88cc579b2a336f18a7d4a3eb32542822a8064cb43b,2747,74,27,16,undefined;export;shared;archive,b14d4db87a3ffb092e5772c9acae11f95a48afb16728505a37dcbd974a4cd103,a9e963929c3a1a42f563711fa40439005bcf41a20f710558cc6c4808ed86f791,16,992
SNF-047,lld/test/ELF/common-archive-lookup.s,0140d6fbabc1528a18967f5830e8d6e06ad78ddce114303ca4b0605065e537e3,6068,201,44,30,weak;archive;version,3f7d8f2b9dfb37ffa8e9af317122cf30b26a200abd24b7368c0ddbdedf08ff2c,3112639345ad1c6d1dd46387ec2ae656591e5fa09520699a1414d839c5fdb168,16,992
SNF-048,lld/test/ELF/symbol-ordering-file-warnings.s,b108b208cbd292275e811b17615349ed15487ee7c42270925003ffc06e1c67a5,7094,164,62,35,shared;gc-sections;undefined;weak;archive,2d68f5386474517da51a9dc7c0322221ea880470f854d3ae9d2e6837039671a5,acfc10d1197703c56a05d0aa8059352358f4889fc2fb3843ef3d60a437b275d9,16,992
SNF-049,lld/test/ELF/lto/lazy-debug.ll,97f4b2d51e1294cd048626bb2ccb0f6fb9e5a41fd3acba71daffb6a37eccb530,6803,107,4,4,version;hidden;visibility;lazy,74ee7a1772fb62f4ab7f921f8265bb798e358615d7ca17b57991cf551acbab8d,c04fd149f732229495641065d50260457b44d72c94a1f6d27c8c5708eb21443b,16,992
SNF-050,lld/test/ELF/gnu-ifunc-nonpreemptible.s,f42bb91735962709206d6a529a0cce2edbb62bf12ca4c13fa17e697e61c2ff03,2925,92,11,15,weak;ifunc;hidden;shared,169f5b37fe6aed335545637159992b7bcf137c0e9353c34ec9f4bdef5c47a4d7,0472017f27bef9203325ebbb64333473a38302d384d3abadcba5f1de7bd6b441,16,992
SNF-051,lld/test/ELF/linkerscript/empty-section-start-stop.test,1a211e3a540eed89dc51ffc16216e287c36e34f404dd6b0625f19b6748f1d2b4,1092,36,4,8,hidden;protected;visibility;weak,a368951814490a609ba62963c36b611656e14fef42a4fe4c10554cc9e30d11ed,c53bb4887151ec93de6dbc8d205a488ef7b5befe979ee9742db4dfc5b64bcca5,16,992
SNF-052,lld/test/ELF/version-script-noundef.s,1713210c7f3b14dc13a4ed62082d16894e9a4e582ed2534b36297eac0269ef94,1445,30,15,8,version;shared;undefined,21fa1d879ace5749112ef82a64e09a9e0476809f570e6733d05b4e851d20afdd,76a4d8958b65d50fa9aaf992aa01729dee9012122eee695e0167a028dcf4ebdb,16,992
SNF-053,lld/test/ELF/i386-plt.s,37fe442c3c1027bca1dbf12f5d81c759f67856a538e9fbe9be5b140495212010,6057,176,11,75,shared,5fe3a6440c4b9a5d880aaae59b5396639a2fa978ce1339aa81336d067ca180cf,2fd503f48f2d0a3e5ce744d4733fe037a432b53212ff8b132f81e7edf5563280,16,992
SNF-054,lld/test/ELF/aarch64-reloc-pauth.s,fe6006224a6c817d945ea030dfd9ec22ba58db11ecdd5537610b13f94abb72d5,15961,320,27,19,hidden;shared;symbolic;preempt,b75b67a876df0c0827c096107f8687c35bea673816db8cc1d233252c23816fbe,1ecff6cc95baa73aac9ebbf1380cdd1c8e6f28cc81ba90ae5cb4f9aad4bf17cd,16,992
SNF-055,lld/test/ELF/lto/thinlto-index-only.ll,6abcfaebdb4db274fa12fe5f63b46ecc52afb52b04433150e59c34a80af4033a,6319,146,57,36,shared;lazy;version,168cfc667fd06bc2334f9b6e4efe9af20d45fd7a1914bbaa97edbd7272282ad8,fbf7d38e009ad0c6abc47fb915d466699f26a2bc4cae935bd6053b44f54149ad,16,992
SNF-056,lld/test/ELF/dso-undef-extract-lazy.s,e8c74bcfc72698efde949059e3f6a342cf90187bd4d3958353585beb55084319,2297,81,14,10,version;archive;shared;undefined,fe265480d6add9f08f891004379194743a3294b06e12a4d5895a6abd609893d8,0ebf88e344e8f886322e0616f8e984e238e5badf7bf0defc1cf0b8ef7b9b1e99,16,992
SNF-057,lld/test/ELF/as-needed-in-regular.s,8e1d9267985d63379ffa0c38c05196926796bc1a7a4e5df337ad15ce363f7719,755,24,12,5,as-needed;gc-sections;shared,c4f6f8d76143a5bbee083283138fa97fe2bb5e3d5bf004513e4e4bb7c1c4078d,3637415f0730a409d4fdf10fe0b2fd6b38895812ef982b0decf503cde1595c48,16,992
SNF-058,lld/test/ELF/hexagon-tls-gd-nonpreemptible.s,ff6f1fac9b5cd0ab75e6158d7d8884c4feaf6e98509cd3b33ff6ea8389532eb7,1715,50,5,13,preempt;tls;hidden;shared;symbolic;visibility,78b2abac33b303e62eb9092564fe8cfc331f616d1090b39152013df2b57fefc2,3ff7d1fc13891e853d599e2833b4aa827d99e6ca147aa926549091d36744d44f,16,992
SNF-059,lld/test/ELF/obj-preempt-dso.s,e3ea8c50e9d7eb895788c441ec90d6bdc87efb1ae074dfffffa257a213aec78e,1246,57,8,11,version;hidden;protected;shared,3155eb594a7c39217020ba22e772e117a4cc2525af3495f51dc0947f12cb19cd,14bfaea15768fcd2c3b13fcecc113002075ba7abc91500585f31ea6b2effeb06,16,992
SNF-060,lld/test/ELF/gc-absolute.s,d9bdb80d23be29b2baaee3837691386649aeffd5e90491d2fa7e9adbdd664b38,161,7,2,0,gc-sections;shared,b6c8fa7b1b5e0736c6151f862e1297ca73e7fd8cd52543d48ebe6b0412160668,463e48824e3eabbd749dffc495d28eb464c1fe95291ae72e2c69432fe080fb4a,16,992
SNF-061,lld/test/ELF/version-script-symver.s,3313ebf3f9779edfefeac2653188beae53fc19928138d64702d3e59ee8366a70,3522,88,30,20,version;shared;export,dfcaa203d79e0bcca24caa00a1fa8fcdfd498081426a63c0b7bae6f9b63df7d8,68e786d48bb72be9cb297fc1faec5662bc0d00c296ce2cf593cbfeffeb0e2041,16,992
SNF-062,lld/test/ELF/dynamic-list-weak-archive.s,2fc13184eb0754f09f2aabeca08c6d79d4c98e0422315e7336701b033b406bbc,697,22,7,6,weak;lazy;preempt;shared,d951f73fad38c74721a4934e4abf3404d716dc4837e213721ec05540a3cceb5d,3afa4276d9704a4cf665f733efc7d86466748654d67c9aa15ebbaf37f2e3e506,16,992
SNF-063,lld/test/ELF/version-script-weak.s,c52d6a36ecfa14394a1aa93bd97d7af207a890d39dd3da1eb27bb23fa6945b9c,1534,42,11,23,shared;version;weak;undefined;lazy,66d7dc883054715b7cf84df3c8c6a3bfebb4984e1ce398e64b33fe870948050d,82d8e357bdc4ff0fc4b6ce796660513725e0cfb8692b3335d1ddeb018372985e,16,992
SNF-064,lld/test/ELF/hexagon-undefined-weak.s,0d5ae7d9140edf0dde710ab446e1182f55bb9ef08643207d514ae7df0e953b43,779,28,3,7,weak;undefined,d9282d9daca74ae8f82afc5f2597b0d5101d79697b7f7ae097b5cebc4e9e8918,d5967ef89a966e480fbdbaf6fafbccb6f5800b8e078caa987a8a9fa6175dee3f,16,992
SNF-065,lld/test/ELF/wrap-shlib-undefined.s,9abfc40dcad885cd402bb346b05fbe88b6b9ae6dccd76be64a1175ad7fb705a1,2943,80,19,36,wrap;shared;undefined,4c505dddcaa2a797e153924d84e051a88d3d4968896a8f79a34001d2d41231ef,aecf1fa757bfc7cfc9f8b591952cec34f161dc0be4504a54e99db5aba49ad63a,16,992
SNF-066,lld/test/ELF/gc-sections.s,a3c889212f15947511030e9b95392a468adf401c6f07bb9b132ee925e24b55c5,4348,194,12,14,gc-sections;export;protected,3dc0ba00a157a7f54633099c178c474ebab2e3f86162e310797e5bce90cfb0f6,00fed709d080ec342b2ebd491c79b60d5df184db83509f75fadc08e0a088fd2d,16,992
SNF-067,lld/test/ELF/reproduce.s,b20e7b8f9f38a9ea048ff25d3f53d43afe7fff1fef6b93f6b30a46a09ef08331,3584,92,39,19,version;as-needed;shared;archive;export,47f9e08099b0f92d589f9b7cd667f6c5791b5fbde768f8aae3f285f4883a921c,2dce2ef49860def443ee72facf58c18f4928257498a90e68f19b0d139c6f6ef6,16,992
SNF-068,lld/test/ELF/eh-frame-dynrel-offset.s,0dd271e7e4e9da2e606d7ecd3d46b356604ee6fc02177470285b9bb155df1580,2151,68,9,12,hidden;shared,232d7e518978d890c0cbaabb6f8f7030991ce258627492ef8557d309f558da98,10b3f627dcbe6bdcdab5a0a0d4767a29c4969c5aa4a1e030e0195533cd7639e3,16,992
SNF-069,lld/test/ELF/aarch64-funcinit64-invalid.s,259e54b70810de57b543bc942af5efbd2aaa87acdb3d16fd76ecc5e078349f0f,440,18,2,2,ifunc,016f66f038ceba72abb5d814747cfb6dd54d2c01fb84d3a34848933117317b7b,e875c553bec2ad5ddfe63258f944f069026044028d652266ef21492d75ccf1c5,16,992
SNF-070,lld/test/ELF/aarch64-adrp-ldr-got.s,0be57654b813f74e94b813f20b5b51f4799bed765cb3019543bd3a5441738676,5264,198,24,23,hidden;preempt,90d8ab20fa5a002e878c3666a9c034a1f114b66217eafa26b49108954c680530,42e33fa371b7189fc53af8bcce41263bb6762edd861a736b778b6930a33965af,16,992
SNF-071,lld/test/ELF/ppc64-ifunc.s,1c85d931e48e383464819dbd699565b5ef060849b4ff57f8e039124ef5ca0260,4204,120,12,58,ifunc;hidden,79608db98fbb4e7773871922571afcea48b52f61c34a1514ed4e17c62f8326d3,b37abc2947efa6cfcf2569ef60d56ee02939f001182a92aff6899bda5027b2eb,16,992
SNF-072,lld/test/ELF/debug-line-obj.s,ff7de72464dd9a6877b06e3cf5d5a7c2bdb2d4357d96e7cbe44b8241bbcb0feb,7333,175,2,7,version;undefined,0147da742494aed78653fdd3d25f2409987855bc5282478bd966d1fbe10190a7,f26dd2a373723cef94e0ce58dbb8ac35750613444ada50057da7ef36906232f3,16,992
SNF-073,lld/test/ELF/tls.s,2519ad29bd549156ca54f53c0700d3281e5e270294919e4c780b5e061ff9dbad,5432,189,6,130,tls;shared;preempt;symbolic,b08bb47ae2b500db7dd6f0c9697bd5266110246e3fe3a89f198d797c4dedad38,4d32f839a9e9635d53979c56ab622c9cadbcd03780b7b529ffc812ddf9de8c6d,16,992
SNF-074,lld/test/ELF/wrap.s,475930d16a3c81e44c58ac1f109d6074674b8768397c44f2036ae107704c2ba3,1327,42,12,13,wrap;protected;weak,35c9c5a0fcea40227a59db2c8a79549ec7cf51ab907ec7c9372ae39a66299dd0,8f34028dac0d8ad4f2f6c69aeef57c49dfc171e5850eb06b85b7de1869ba2ddf,16,992
SNF-075,lld/test/ELF/warn-backrefs.s,d304e3ac9b01193306f20dc9f42dec723593444f0c663986bb4e88830f16772b,6825,112,58,18,weak;lazy;archive;shared,aefc816cb7f379ee7fd0ae7f967379e36407c9bdf06984b0962ddc0a54b98a61,f76d6e5f355c214574f45c7fa5f2d6e8356be9158064aa888910e15bce37d95d,16,992
